Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
13-05-2023,28.2,33.1,29.8,81.0,0.0,9.2,5.0,20.0,2.0,C 
14-05-2023,26.8,33.4,29.9,72.0,5.0,8.9,4.0,70.0,1.0,C 
15-05-2023,27.0,33.5,29.3,74.0,,8.3,3.0,230.0,1.0,C 
16-05-2023,27.0,33.0,29.8,74.0,0.0,8.6,5.0,40.0,2.0,C 
17-05-2023,22.8,33.0,29.7,73.0,,8.9,5.0,40.0,3.0,SE
18-05-2023,27.8,30.9,29.0,76.0,0.0,8.3,4.0,100.0,2.0,E 
19-05-2023,27.4,32.8,30.1,74.0,,0.0,5.0,30.0,2.0,SE
20-05-2023,26.8,32.6,29.6,78.0,0.0,5.3,6.0,40.0,2.0,E 
21-05-2023,27.8,33.2,29.8,78.0,,4.8,5.0,80.0,2.0,C 
22-05-2023,27.2,32.5,29.5,78.0,2.4,7.4,5.0,30.0,1.0,C 
23-05-2023,22.4,32.6,29.6,78.0,8888.0,7.2,4.0,50.0,2.0,C 
24-05-2023,27.6,32.8,29.5,76.0,0.0,4.5,6.0,80.0,2.0,SE
25-05-2023,26.8,32.8,29.6,79.0,0.0,6.0,4.0,30.0,2.0,C 
26-05-2023,27.8,34.5,30.4,73.0,,6.9,6.0,50.0,3.0,E 
27-05-2023,22.9,32.6,29.6,78.0,,7.8,5.0,100.0,2.0,NE
28-05-2023,25.8,32.8,28.8,80.0,16.6,6.9,4.0,40.0,1.0,C 
29-05-2023,26.2,32.0,29.9,78.0,0.0,5.5,4.0,20.0,2.0,C 
30-05-2023,27.2,32.6,29.8,77.0,0.0,5.2,6.0,150.0,2.0,C 
31-05-2023,27.4,33.0,30.0,73.0,8888.0,4.2,4.0,10.0,2.0,C 
01-06-2023,27.4,32.4,29.4,77.0,0.0,8.4,5.0,40.0,2.0,C 
02-06-2023,27.4,34.4,30.1,72.0,0.0,6.7,6.0,110.0,3.0,C 
03-06-2023,23.5,34.4,30.1,76.0,,8.4,4.0,110.0,2.0,C 
04-06-2023,27.9,32.2,29.6,78.0,0.0,7.2,5.0,40.0,2.0,C 
05-06-2023,27.8,32.3,29.4,76.0,0.0,7.3,5.0,40.0,2.0,NE
06-06-2023,27.2,31.2,28.2,82.0,3.0,7.7,4.0,70.0,1.0,C 
07-06-2023,26.6,34.4,30.5,74.0,8888.0,0.7,6.0,140.0,3.0,SE
08-06-2023,26.5,34.4,30.0,74.0,,7.9,7.0,60.0,3.0,E 
09-06-2023,26.8,33.6,29.8,74.0,0.0,6.9,5.0,50.0,2.0,E 
10-06-2023,27.2,34.0,29.6,77.0,,9.0,5.0,40.0,2.0,C 
11-06-2023,26.8,34.0,29.1,76.0,0.0,8.2,5.0,60.0,2.0,C 
12-06-2023,27.0,33.6,30.1,74.0,0.0,9.0,6.0,70.0,3.0,E 
13-06-2023,27.4,34.2,30.1,77.0,,7.1,4.0,50.0,2.0,E 
14-06-2023,27.5,33.2,30.0,77.0,,7.7,5.0,20.0,2.0,C 
15-06-2023,27.7,33.1,29.7,77.0,0.0,7.7,6.0,60.0,2.0,E 
16-06-2023,26.4,27.4,26.5,91.0,3.7,4.6,5.0,100.0,1.0,C 
17-06-2023,25.6,31.3,28.1,82.0,13.4,0.0,4.0,90.0,1.0,C 
18-06-2023,25.7,31.8,28.8,83.0,8888.0,2.1,5.0,80.0,2.0,C 
19-06-2023,27.0,31.4,27.9,88.0,,4.8,3.0,190.0,1.0,C 
20-06-2023,25.4,32.8,28.7,81.0,17.3,2.9,5.0,90.0,3.0,SE
21-06-2023,26.2,32.8,29.5,79.0,0.0,7.1,5.0,40.0,2.0,NE
22-06-2023,27.3,33.6,29.6,80.0,8888.0,7.3,5.0,90.0,2.0,C 
23-06-2023,27.2,33.4,29.8,78.0,0.0,6.7,6.0,60.0,2.0,C 
24-06-2023,25.8,31.8,28.7,84.0,3.5,7.2,4.0,40.0,1.0,C 
25-06-2023,26.6,32.0,28.8,86.0,2.0,7.7,5.0,60.0,2.0,C 
26-06-2023,26.4,31.6,28.5,83.0,1.5,6.2,3.0,340.0,1.0,C 
27-06-2023,26.6,32.2,28.8,80.0,9.5,8.6,5.0,30.0,2.0,C 
28-06-2023,26.4,32.6,28.8,74.0,0.0,7.9,5.0,60.0,2.0,C 
29-06-2023,25.4,32.4,28.9,79.0,36.7,8.9,3.0,340.0,1.0,C 
30-06-2023,26.6,32.7,29.2,76.0,,8.2,7.0,50.0,2.0,C 
01-07-2023,27.2,32.4,29.5,79.0,0.0,7.3,4.0,60.0,1.0,C 
02-07-2023,27.8,32.0,29.4,79.0,0.0,5.2,5.0,10.0,1.0,C 
03-07-2023,27.4,32.0,29.3,78.0,,1.7,5.0,360.0,1.0,C 
04-07-2023,26.9,32.7,29.2,76.0,,5.1,6.0,10.0,3.0,N 
05-07-2023,26.9,33.6,29.4,77.0,0.0,8.6,6.0,10.0,1.0,C 
06-07-2023,27.2,29.8,27.9,84.0,0.0,8.2,3.0,50.0,1.0,C 
07-07-2023,26.2,30.2,27.3,88.0,5.5,0.1,6.0,10.0,1.0,C 
08-07-2023,25.8,32.1,28.2,81.0,4.3,1.7,7.0,10.0,2.0,N 
09-07-2023,26.0,33.4,28.9,78.0,0.0,3.0,8.0,20.0,4.0,N 
10-07-2023,26.1,33.4,29.3,79.0,0.0,6.5,8.0,20.0,4.0,N 
11-07-2023,26.7,32.2,28.9,76.0,0.0,6.2,4.0,10.0,2.0,N 
12-07-2023,26.6,32.2,29.2,79.0,1.5,8.7,3.0,10.0,1.0,C 
13-07-2023,27.0,32.8,29.2,75.0,0.0,8.3,4.0,10.0,1.0,C 
14-07-2023,27.0,32.6,29.4,74.0,0.0,5.5,6.0,10.0,2.0,NE
15-07-2023,27.4,32.6,29.2,78.0,8888.0,9.3,5.0,10.0,1.0,C 
16-07-2023,27.0,32.1,29.1,77.0,0.0,6.3,5.0,10.0,2.0,N 
17-07-2023,26.9,32.4,29.0,75.0,0.0,7.4,6.0,10.0,2.0,N 
18-07-2023,26.0,33.5,29.0,71.0,0.0,9.1,5.0,20.0,3.0,N 
19-07-2023,21.2,34.4,29.1,69.0,,9.2,6.0,30.0,2.0,C 
20-07-2023,25.8,32.0,28.4,67.0,0.0,10.1,4.0,60.0,1.0,C 
21-07-2023,26.0,32.0,29.0,68.0,0.0,6.6,4.0,10.0,1.0,C 
22-07-2023,26.2,32.4,29.1,76.0,,6.1,6.0,10.0,2.0,N 
23-07-2023,26.6,33.2,28.9,72.0,0.0,8.0,7.0,20.0,3.0,N 
24-07-2023,26.6,31.8,28.5,82.0,0.0,8.0,6.0,70.0,1.0,C 
25-07-2023,26.0,31.3,28.3,82.0,0.0,5.7,5.0,90.0,1.0,C 
26-07-2023,25.8,31.4,28.2,79.0,0.4,1.3,3.0,10.0,0.0,C 
27-07-2023,25.2,31.8,28.9,76.0,0.0,4.2,6.0,30.0,2.0,C 
28-07-2023,26.4,33.8,29.0,71.0,,2.7,6.0,30.0,3.0,E 
29-07-2023,26.4,32.7,28.6,72.0,0.0,8.8,8.0,30.0,3.0,NE
30-07-2023,26.2,33.2,28.7,72.0,0.0,8.6,6.0,40.0,3.0,NE
